Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance,E2E_time,Fingerprinting_time,wm_time,ECC_time
wm_1000_transformed.png,1011110010101011101001000010101101001001010001001110001010110000001001011001011100101111110001111111001001001011000111110110010100001011010010010100100110110110110110110011011011001000000110001101110111110111110111101000000010000000001100110001111111100001,1011110010101011101001000010101101001001010001001110001010110000001001011001011100101111110001111111001001001011000111110110010100001011010010010100100110110110110110110011011011001000000110001101110111110111110111101000000010000000001100110001111111100001,True,True,True,True,0,0.0377047061920166,0.0246808528900146,0.0126745700836181,0.0003333091735839
wm_1001_transformed.png,1110101110110110111010110010110010010100010000010001010011011001011110111011111011101011001011101000010001000101100101000100000100111101100110111110110010011010010000000111010000010011011001010011011111001001111011000001101111001000001101100101001111100100,1110101110110110111010110010110010010100010000010001010011011001011110111011111011101011001011101000010001000101100101000100000100111111100110111110110010011010010000000111010000010011011001000011011111001001111011000001101111001000001101100101001111100100,True,True,True,True,2,0.087806224822998,0.0684006214141845,0.0190334320068359,0.0003538131713867
wm_1002_transformed.png,1000001001010001011011011010011100111001101011100011111001011110111011100010010101001110111110011111010011011000111010111010000100100110110111010110101100001000110101011000001100011011010011001000100000101100011111000001010110011000001100010100110110101010,1000001001010001011011011010011100111001101011100011111001011110111011100010010101001110111110011111010011011000111010111010000100100110110111010110101100001000110101011000001100011011010011001000100000101100011111000001010110011000001100010100110110101010,True,True,True,True,0,0.3114864826202392,0.2667791843414306,0.0417525768280029,0.0003817081451416
wm_1003_transformed.png,1000000110011001101111000100110100111110011001100100001110111011110000011001100100101100111001000110111001100110110100110001101110110101110001000110110011100000110110110001101110010011101111000110010011100100011010111000101110011101000110010010010001100100,1000000110011001101111000100110100111110011001100100001110111010110000011001100100101100111001000110111001100110110100110001101110110101110001000110110011100000110110110001101110010011101111000110010011100100011010111000101110011101000110010010110001100100,True,True,True,True,2,0.06821870803833,0.0510523319244384,0.0168092250823974,0.0003387928009033
wm_1004_transformed.png,1000000100110001010011001110011001001100110001101111001100111001101100110001100100001110110001100110111011100110111100010011100100000101010111111001111111000110110100010010000101000110100101101001000101111001111111110110100000111110100001101011000100010001,1000000100110001010011001110011001001100110001101111001100111001101100110001100100001110110001100110111011100110111100010011100100000101010111111001111111000110110100010010000101000110100101101001000101111001111111110110100000111110100001101011000100010001,True,True,True,True,0,0.0590908527374267,0.0434610843658447,0.0152819156646728,0.0003309249877929
wm_1005_transformed.png,1001111011110111111000000001110011100011100010001100001111110001100110111100011100011100110001111011100011110000010001100011100010011110000000110100001000001110011000011110111110010011110001110100011111110001101111001111000001000000000111001011111000000111,1001111011110111111000000001110111100011100010001100001111110001100110111100011100011100110001111011100011110000010001100011100010011110000000110100001000001110011000011110111110010011110001110100011111110001101111001111000001000000000011001011111000000111,True,True,True,True,2,0.0730304718017578,0.0554747581481933,0.0172035694122314,0.0003337860107421
wm_1006_transformed.png,1011100010010101111110100101111111101001011000000100010110111010101001011100100101100111011001001010010011100011100110010100110101100110100001110110011010110101100100111100101010011000110110011101001001000100101000011010001011010011010101110011001001100010,1011100010010101111110100101111111101001011000000100010110111010101001011100100101100111011001001010010011100011100110010100110101100110100001110110011010110101100100111100101010011000110110011101001001000100101000011010001011010011010101110011001001100010,True,True,True,True,0,0.0409085750579834,0.0280349254608154,0.0125472545623779,0.0003101825714111
wm_1007_transformed.png,1101000111000100110011010000000110100100111100010010101101011110011010001011010101111111110011111101010000111100100111111101001110101101001011010000000011100100011010100000111101001000101101010101010011010010100000110000110110010101001101000111111010100011,1101000111000100110011010000000110100100111100010010101101011110011010001011010101111111110011111101010000111100100111111101001110101101001011010000000011110000011010100000111101001000101101010101010011010010100000110000110110010101001101000111111010100011,True,True,True,True,2,0.0796847343444824,0.0625381469726562,0.0167844295501709,0.0003430843353271
wm_1008_transformed.png,1001101100111001001011001001011001100100110101001001101101001101100110010001001110011011011010010110010011010110100110010111010110100100110111101001100100010001011101010110110001010001001101100111010101001110011001001001111010011011000010010110010011001110,1001101100111001001011001001011001100100110101001001101101001101100110010001001110011011011010010110010011010110100110010111000110100100110111101001100100010001111101010110110001010001001101100111010101001110011001001001111010011011000010010110010011001110,True,True,True,True,2,0.1045160293579101,0.0861959457397461,0.0179481506347656,0.0003540515899658
wm_1009_transformed.png,1101110110001000100011011000100100001100100010000110110111101011111011011000100110100101010110110010010111001011011000010101101110001011010110111001110001011010100100010101001001010111010101100111101101010110101000000100010000001110101001100110111110111100,1101110110011000100011011000100100001100100010000110110110101011111011011000100110100101010110110010010111001011011000010101101110001011010110111001110001011010100100010101001001010111010101100111101101010110101000000100010000001110101001100110111110111100,True,True,True,True,2,0.0870864391326904,0.0684216022491455,0.0183100700378417,0.0003368854522705
