Filename,Less or Equal to Threshold,Greater than Threshold,Threshold
attack.csv,0.0,100.0,0
attack.csv,0.0,100.0,1
attack.csv,0.1,99.9,2
attack.csv,0.15,99.85,3
attack.csv,0.2,99.8,4
attack.csv,0.2,99.8,5
attack.csv,0.5,99.5,6
attack.csv,0.5,99.5,7
attack.csv,1.0,99.0,8
attack.csv,1.05,98.95,9
