Filename,Less or Equal to Threshold,Greater than Threshold,Threshold
Resize.csv,54.3,45.7,0
Resize.csv,54.3,45.7,1
Resize.csv,92.8,7.2,2
Resize.csv,92.85,7.15,3
Resize.csv,98.3,1.7,4
Resize.csv,98.35,1.65,5
Resize.csv,98.8,1.2,6
Resize.csv,99.0,1.0,7
Resize.csv,99.05,0.95,8
Resize.csv,99.05,0.95,9
