Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance,E2E_time,Fingerprinting_time,wm_time,ECC_time
59.jpg,1001001100011100100011000110001001001110011011011110000100010110001111001010001100011110010011011000111110010000111001111011101111010010110000000011100111101100010011001011001110010011010100100110100101101101001111001001010010010111110110100100001111100101,1001001100011100100011000110001001001110011011011110000100010100001111001010001100011110110011011000111110010000111001111011101111010010110000000011100111101100010011001011001110010011010101100110100101101101001111001001010010010111110110100100001111100001,True,True,True,True,4,0.0318727493286132,0.015643835067749,0.0157506465911865,0.0004611015319824
61.jpg,1101010001110100111101010011010000111101010011010010110101010101110010100001011100000010100101010110100010100001100010100010101101110010110010101100101010110010001111101011110001100010110111100001110010100011011000101001000011011101001111000111001011110111,1101010001110100111101010011010000111101010011110010110101010101110010100001011100000010100101010110000010101001100010100010101101110010110010101100101010110010001111101011110001100010110111000001110010110011011000101001100011001101001101100111001011101101,True,True,True,True,12,0.0347845554351806,0.0176575183868408,0.0167794227600097,0.0003278255462646
64.jpg,1000000111001000001110010110101110011110000000011000001010001101011000100111111010100100110100010101001000100110000011111101011111000000001111001011101001101101010011111101100110011010001011110110011111001011111100000111100000001111111000001101010111010110,1000000111001000001110010110101010011111001000011000001010001001011000100111111010100101001100010101001000100111000011111101011111000000001111001011101001101101010011111101100110011010001011110110011111001001111100000111100001001111011000001101010111010010,True,True,True,False,13,0.0342409610748291,0.0169689655303955,0.0167107582092285,0.0005433559417724
57.jpg,1001100110011000111001100110110011001100100110011100110110010010011001100110110011011001001100101110001001000110011001110110101110011011001001110010011011001101000011001101001010011101101100100001001100011001100110110001100111101100100110110110110010010010,1001100110011000111001100110110011001100100110011110110110010010011001100110110011011001001100101110001001100110011001110111101110011001101001110010011001001100000011001101001110011101100100100001001100011100101100110001100111001100100110110110110010010010,True,True,True,True,14,0.0289270877838134,0.012953758239746,0.0155003070831298,0.0004551410675048
81.jpg,1101100100011000100100010110000000110100101000111101000000011111011111000110001111001111001011110011100000000001100011111101000111100000000100000111111111011010010000111111111111111000000000000000011111111100000111000000011101111111110001010100100011111111,1101100100011100100100011011100000110110101000111101000000001111011111001110001111001111001011110011100000000001100011111101000111100000000100000111111111011010000001111111111111110000000000000000011111011101000110000000011101111111110001000100000011111111,True,True,True,True,16,0.0383641719818115,0.0209386348724365,0.0168218612670898,0.0005857944488525
79.jpg,1101110111100000010011101111110110100010001111001001101100001010011110010001001111000000110101001001011001100100111100010011011100000011111100101101111000000111111100000000001100110111110100100001010101110010101100010111011011110101001010110100000100011011,1101110111100000010011101110110110100010001011001001101100101010011110010001001111000000111111001001011001100100111100010001011100000011111100101101111110000111111100000000000100110111110100101001010101000010100110010111111010110101001010110100000100011011,True,True,True,True,16,0.035846471786499,0.018078327178955,0.0173358917236328,0.0004134178161621
53.jpg,1100011001111110110111100110111010000111010011111010101110001100101000110000110011000011000110010101100011001001101111101110000100111111110000000000000111000000001010010011100001101010011110110111101010111001100101110001101011000010101100010010101101111000,1100011001111110110101100110111010000111010011101010101110001100101000110000110011000011000110010101100011001001101111101110000100111111011001000001100111000000001010000011100101101010111110111111101010111001100101110001001111100000101100010010101101111100,True,True,False,True,16,0.0321767330169677,0.0145621299743652,0.0170013904571533,0.0005948543548583
60.jpg,1011111101001000101111110110010000100000101101110101010010110101110111110000000000111011010111101110101011101100000111111000111001000001000100111101000011010001001111101010000001100010011110101101100011000101100101110000111001101001001110111100100110000001,1011111101001000101111110110010000100000101101110101010010110101110111110000000100101011010111101110101011101100000111101000111101000001000100111100000011010001001111101010001001100010011110101101100011000101000111110000111001101001001110111100100110000001,True,True,True,True,8,0.0362129211425781,0.0188090801239013,0.0168495178222656,0.0005359649658203
55.jpg,1001110001110011100001110101110011100110010000011011111000010101010011011101100010011000101010111000100110110101001000010101111101110011101110011100110001100010000111001100001011110011001001010010001100110110101110011110001110010000110010110100111001001100,1001110001110011100001110101100011100110010101011011111000010101010011011101100010011000101010111000100100111101001100010101001101110011101110011100110001100010000111001100001011110011001000010010001100111100101110011011001110010010110010110100111001001100,True,True,True,True,14,0.0359919071197509,0.0178661346435546,0.0176360607147216,0.0004713535308837
1366.jpg,1010110101011000100110011000100110000011100101010101001001010110000110100110001100000110010100100001011001010010011110000011100111100001100110011111011010111000010110101110010011000011011011010000100111101111000100011110111110101001101101111011110110100011,1010010101011000100110011000100100000011101101010101001001010110010110100110001101000110010100100001011011010110011110001011100111100001100110011111011010110000010110101110000010000011011001010000000111101011000000011110111110101001101101111111110110110011,False,True,True,True,17,0.0354607105255126,0.0176279544830322,0.0171339511871337,0.0006804466247558
