Threshold,CDF Probability
0,2.77e-05
1,3.30e-05
2,3.93e-05
3,4.66e-05
4,5.53e-05
5,6.54e-05
6,7.73e-05
7,9.12e-05
8,1.07e-04
9,1.26e-04
10,1.48e-04
