Threshold,CDF Probability
0,5.14e-02
1,1.03e-01
2,1.84e-01
3,2.97e-01
4,4.33e-01
5,5.78e-01
6,7.14e-01
7,8.24e-01
8,9.02e-01
9,9.52e-01
10,9.79e-01
