Threshold,CDF Probability
0,5.40e-24
1,1.40e-23
2,3.61e-23
3,9.22e-23
4,2.33e-22
5,5.85e-22
6,1.45e-21
7,3.58e-21
8,8.74e-21
9,2.11e-20
10,5.07e-20
