Threshold,CDF Probability
0,1.38e-04
1,1.56e-04
2,1.77e-04
3,1.99e-04
4,2.25e-04
5,2.53e-04
6,2.85e-04
7,3.20e-04
8,3.60e-04
9,4.03e-04
10,4.52e-04
