Threshold,CDF Probability
0,3.72e-04
1,4.20e-04
2,4.73e-04
3,5.33e-04
4,6.00e-04
5,6.74e-04
6,7.57e-04
7,8.49e-04
8,9.51e-04
9,1.06e-03
10,1.19e-03
