Threshold,CDF Probability
0,7.00e-02
1,9.57e-02
2,1.28e-01
3,1.67e-01
4,2.13e-01
5,2.65e-01
6,3.23e-01
7,3.86e-01
8,4.53e-01
9,5.20e-01
10,5.87e-01
