Threshold,CDF Probability
0,1.35e-13
1,2.23e-13
2,3.65e-13
3,5.95e-13
4,9.66e-13
5,1.56e-12
6,2.52e-12
7,4.03e-12
8,6.43e-12
9,1.02e-11
10,1.62e-11
