Threshold,CDF Probability
0,7.31e-03
1,9.20e-03
2,1.15e-02
3,1.43e-02
4,1.76e-02
5,2.16e-02
6,2.64e-02
7,3.19e-02
8,3.85e-02
9,4.60e-02
10,5.47e-02
