Threshold,CDF Probability
0,6.37e-24
1,1.48e-23
2,3.39e-23
3,7.75e-23
4,1.76e-22
5,3.96e-22
6,8.87e-22
7,1.97e-21
8,4.35e-21
9,9.55e-21
10,2.08e-20
