Threshold,CDF Probability
0,1.22e-02
1,2.28e-02
2,4.03e-02
3,6.73e-02
4,1.07e-01
5,1.60e-01
6,2.29e-01
7,3.12e-01
8,4.06e-01
9,5.05e-01
10,6.04e-01
