Threshold,CDF Probability
0,3.08e-05
1,3.67e-05
2,4.36e-05
3,5.17e-05
4,6.13e-05
5,7.26e-05
6,8.57e-05
7,1.01e-04
8,1.19e-04
9,1.40e-04
10,1.64e-04
