Threshold,CDF Probability
0,1.23e-01
1,2.07e-01
2,3.17e-01
3,4.46e-01
4,5.82e-01
5,7.08e-01
6,8.13e-01
7,8.91e-01
8,9.42e-01
9,9.72e-01
10,9.88e-01
