Threshold,CDF Probability
0,2.33e-02
1,2.76e-02
2,3.26e-02
3,3.83e-02
4,4.48e-02
5,5.22e-02
6,6.04e-02
7,6.97e-02
8,8.00e-02
9,9.15e-02
10,1.04e-01
