Threshold,CDF Probability
0,2.85e-02
1,3.27e-02
2,3.75e-02
3,4.27e-02
4,4.86e-02
5,5.51e-02
6,6.22e-02
7,7.01e-02
8,7.87e-02
9,8.80e-02
10,9.82e-02
