Threshold,CDF Probability
0,6.06e-13
1,1.15e-12
2,2.17e-12
3,4.05e-12
4,7.52e-12
5,1.38e-11
6,2.53e-11
7,4.58e-11
8,8.23e-11
9,1.47e-10
10,2.60e-10
