Threshold,CDF Probability
0,5.59e-02
1,8.19e-02
2,1.16e-01
3,1.59e-01
4,2.12e-01
5,2.74e-01
6,3.44e-01
7,4.19e-01
8,4.97e-01
9,5.76e-01
10,6.51e-01
