Threshold,CDF Probability
0,1.61e-13
1,2.77e-13
2,4.72e-13
3,8.00e-13
4,1.35e-12
5,2.27e-12
6,3.79e-12
7,6.29e-12
8,1.04e-11
9,1.71e-11
10,2.80e-11
