Threshold,CDF Probability
0,9.85e-14
1,1.79e-13
2,3.25e-13
3,5.84e-13
4,1.04e-12
5,1.86e-12
6,3.27e-12
7,5.74e-12
8,1.00e-11
9,1.73e-11
10,2.98e-11
