Threshold,CDF Probability
0,2.38e-04
1,3.15e-04
2,4.14e-04
3,5.43e-04
4,7.07e-04
5,9.16e-04
6,1.18e-03
7,1.51e-03
8,1.93e-03
9,2.45e-03
10,3.09e-03
