Threshold,CDF Probability
0,4.54e-02
1,5.69e-02
2,7.05e-02
3,8.65e-02
4,1.05e-01
5,1.26e-01
6,1.50e-01
7,1.77e-01
8,2.07e-01
9,2.40e-01
10,2.75e-01
