Threshold,CDF Probability
0,1.02e-03
1,1.21e-03
2,1.43e-03
3,1.69e-03
4,1.99e-03
5,2.33e-03
6,2.73e-03
7,3.19e-03
8,3.73e-03
9,4.33e-03
10,5.03e-03
