Threshold,CDF Probability
0,1.38e-04
1,2.91e-04
2,5.92e-04
3,1.16e-03
4,2.19e-03
5,4.00e-03
6,7.04e-03
7,1.20e-02
8,1.96e-02
9,3.11e-02
10,4.77e-02
