Threshold,CDF Probability
0,2.05e-03
1,2.60e-03
2,3.28e-03
3,4.12e-03
4,5.15e-03
5,6.40e-03
6,7.92e-03
7,9.74e-03
8,1.19e-02
9,1.45e-02
10,1.76e-02
