Threshold,CDF Probability
0,5.23e-04
1,5.88e-04
2,6.61e-04
3,7.42e-04
4,8.32e-04
5,9.32e-04
6,1.04e-03
7,1.17e-03
8,1.30e-03
9,1.45e-03
10,1.62e-03
