Threshold,CDF Probability
0,8.61e-47
1,4.35e-46
2,2.17e-45
3,1.07e-44
4,5.20e-44
5,2.50e-43
6,1.18e-42
7,5.55e-42
8,2.56e-41
9,1.17e-40
10,5.28e-40
