Threshold,CDF Probability
0,1.85e-03
1,2.16e-03
2,2.52e-03
3,2.93e-03
4,3.41e-03
5,3.95e-03
6,4.57e-03
7,5.27e-03
8,6.06e-03
9,6.96e-03
10,7.98e-03
