Threshold,CDF Probability
0,4.86e-21
1,1.00e-20
2,2.05e-20
3,4.18e-20
4,8.47e-20
5,1.71e-19
6,3.42e-19
7,6.80e-19
8,1.35e-18
9,2.65e-18
10,5.18e-18
