Threshold,CDF Probability
0,1.23e-04
1,1.39e-04
2,1.58e-04
3,1.80e-04
4,2.04e-04
5,2.31e-04
6,2.61e-04
7,2.95e-04
8,3.33e-04
9,3.76e-04
10,4.24e-04
