Threshold,CDF Probability
0,5.20e-02
1,6.63e-02
2,8.35e-02
3,1.04e-01
4,1.28e-01
5,1.55e-01
6,1.86e-01
7,2.20e-01
8,2.58e-01
9,2.99e-01
10,3.42e-01
