Threshold,CDF Probability
0,2.84e-03
1,6.34e-03
2,1.32e-02
3,2.58e-02
4,4.70e-02
5,8.05e-02
6,1.29e-01
7,1.96e-01
8,2.80e-01
9,3.78e-01
10,4.85e-01
