Threshold,CDF Probability
0,4.55e-02
1,5.49e-02
2,6.57e-02
3,7.81e-02
4,9.23e-02
5,1.08e-01
6,1.26e-01
7,1.46e-01
8,1.68e-01
9,1.91e-01
10,2.17e-01
