Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance
wm_1_transformed.jpeg,1011000000111111110001111100110011000101110000000111000000111110101110100111011110001110110000010100011100101111110100111111001000111000011110111000100010000001110011111100010100110101000101101100000100011011101100001000001011000111110000001100111111000011,1101010101000111100110100000111011100001101000000101010011110100101110101101110110101110010001110100011100110111100100111001001010101000010110111000100011100111011011110111010100000011110001101100010100011001101101001000101000010111110000101101100111010011,True,True,False,True,70
wm_2_transformed.jpeg,1111100000100011010100101000101000110111010111011010110101110101101001011101011110000011011011011101001111101110110100000110001100100100110110101001000111001011010111001000100001011010011010110100110000100010001100010110111100100101000111110111100110000000,1011110101110011111001101000111000110011011011011100110010110010100100001100111111000011011010011100001101100111110000000111000001100100100110101001000111001011110001011000110010011011011010110110110000100000001100010110111101100110000110110111100110000000,True,False,True,True,53
wm_3_transformed.jpeg,1011010100000011110000000111110011000010111111010011101100001001101101010000001010000100111111101100001001100101100101001001000100111011000010011000011111111110111001001110011010011111101000100011000110111101001110110001000111000000011001101100011011111110,101001000000001011001010010001000001101111011101001110110101100111000101100001100010110001110011010010110011100110110001100011000111100011100011100111100101111111110001010001110011011010111001110011010000001110010011011011111011,True,True,False,True,94
