Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance
wm_1_transformed.jpeg,1101000100011010100011010000011001110100111111111101111011111101101000110010110001010000101001101101100001011010010001110110111110000011101010100100100110001001111010011011010100100000000111011011010110000101011101100000011011111011100001000110101010010100,101100000010111100001100010110101011111101111100001011011011101010000110000000100010100001101010111010100110110000110101100001110000011000010110000111000011010101010100000000100101001010010001011000101010111100101100100010100001,False,False,False,False,116
wm_2_transformed.jpeg,1111000110001010110100100011000101101100010101101001110111001010011000111010100011010001100011000110001010101010011001011001011001100010011010010010011001110111011010101111000101100110001100010101101011011101011101100100101010101010010101101011011101000110,00111101100001101101110100001011001000000010010000110010001001100101010100000011000010000111011010001010000101000110111101110111011011010011000010110010110010000100000011111101010001001011011110110000,False,False,False,False,101
wm_3_transformed.jpeg,1011010000111010111010110011000100001010010001100001101101100110110101001111100100100111000110000100101110000111101101001110001101111100001111001100011100001110001110001110011111011000001010110001011000011000100010011111000111111000111001110001011100001110,1010010100000110100010100110010001011011110101010001101101010001110001011000011000101100011100110100101100111001101100011000110001111000111000111000111001111001011100111000110010001101111001100001010001110011011010111001110011010000001110010011011011111011,False,True,True,True,122
