Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance
wm_1_transformed.jpeg,1101011100011110101110000100111111100001111000000100011010111100101110100101111110111000110000110100011100111101100110110001101000101000011010111000000110100001101011100011011100000111000111101100000110011001101100001100001000010111110000101101001111000011,1101010101000111100110100000111011100001101000000101010011110100101110101101110110101110010001110100011100110111100100111001001010101000011010111000110001100111111010110111110100000011111001101100010100011001101101001000101000010111110000101101100111010011,True,True,False,True,54
wm_2_transformed.jpeg,1011110101010011111001011000111001100111001111001001011011111011110100111100011111001111001011001001001011001000110100010110000101100100100100101001000110011011110001011000110010010010011010111100110000100000001100010110111100110110000110110111100110000000,1011110101110011111001101000111000110011011011011100110010110010110100101100111111010011001010011100001101100110110000000111000001100100100110101001000111001011110001011000110010011011011010110110111000100000101100011110111101100110100110110111100110000000,True,True,True,False,48
wm_3_transformed.jpeg,1010010000000010111010100110010000011011111111010011101111011001111101011000011010001100001100110111101100011101101100011000011001101000110100110000011101111110011100011001110010001101101001100001010001100111011010110001100111110000000010000001110011110011,1010010000000010110010100100010000011011110111010011101101011001110001011000011000101100011100110100101100111001101100011000110001111000111000111000111001111001011100111000110010001101111001100001010001110011011010111001110011010000001110010011011011111011,True,True,True,True,40
