Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance
wm_1_transformed.jpeg,1101010100000111100111100000111011100001101000000101010011110000101100101111000110101100010111110100011000111111100100110001101000101000011010101000110000100011111011110011010100000101110001101100000001111001101101001000111000011111110010101101101111010011,1001010100000000100110101001111001100001101001000001010100110100101110101101110110101110010001110100011100110111100100111001001000101000011010101000110000100111111011110011011100000101110001101100010100011001101101001000101000010111110000101101100111010011,False,True,True,True,35
wm_2_transformed.jpeg,1011100100110011111000101000111001110110011011011100110010110010110100111001101110010011001010011100010011100110110000000110000001110001100110101011000111001011110011001100110010000011011011100110011100111000001100000110011101101100010110110110011110001000,1011110101110011111001101000111000110011011011011100110010110010110100101100111111010011001010011100001101100110110000000111000001100100100110101001000111001011110001011000110010011011011010110110110000100000001100010110111101100110000110110111100110000000,True,True,True,True,42
wm_3_transformed.jpeg,1010010000000010111010100100110100011011110111010001101111101101111001011000001000101100001100101101101001110101101100011000110101100000110010111000111001111001111110011000010010100111100000100001010001100111110010110011000111110000100110000011010111110111,1010010000000010110010100100010000011011110111010011101101011001110001011000011000101100011100110100101100111001101100011000110001111000111000111000111001111001011100111000110010001101111001100100000101110011010000111000110111010000001010010011001011111011,True,True,True,True,56
