Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance
wm_1_transformed.jpeg,1101010101000111100110100000111011100001101000000101010011110000101110101101110110101110010001110100011100110111110100111001001000101000011010101000110000100111111011110011011100000101110001101100010100011001101101001000101000010111110000101101100111010011,1101010101000111100110100000111011100001101000000101010011110100101110101101110110101110010001110100011100110111100100111001001000101000011010101000110000100111111011110011011100000101110001101100010100011001101101001000101000010111110000101101100111010011,True,True,True,True,2
wm_2_transformed.jpeg,1011110101110011111001101000111000110011011011011100110010110010110100101100111111010011001010011100001101100110110000000111000001100100100110101001000111001011110011011000110010011011011010110110110000100000001100010110111101100100000110110111100110000000,1011110101110011111001101000111000110011011011011100110010110010110100101100111111010011001010011100001101100110110000000111000001100100100110101001000111001011110001011000110010011011011010110110110000100000001100010110111101100110000110110111100110000000,True,True,True,True,2
wm_3_transformed.jpeg,1010010000000010110010100100010000011011110111010011101111011001110001011000011000101100011100110100101100111001101100011000110001111000111000111000111001111001011100011000110010001101111001100001010001110011011010111001110011010000001110010011011011111011,1010010000000010110010100100010000011011110111010011101101011001110001011000011000101100011100110100101100111001101100011000110001111000111000111000111001111001011100111000110010001101111001100001010001110011011010111001110011010000001110010011011011111011,True,True,True,True,2
