Transformation,Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
GaussianNoise,0.08,2,0,1,0,2,0,0,0,0,0,1,0,0,2,0,2,2,1,1,1,0,0,0,0,0,0,1,1,1,2,2,0,1,2,0,1,0,1,1,1,4,1,2,0,0,0,0,1,3,2,2,1,0,1,1,2,1,0,1,1,2,1,2,2,1,0,0,0,0,0,2,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,3,1,2
JPEG,50.0,5,2,5,2,4,2,6,0,5,4,4,3,4,4,4,4,5,3,4,1,1,5,5,2,6,4,1,6,3,5,4,3,2,4,3,5,3,3,3,4,8,3,7,4,3,1,3,6,3,7,5,7,1,6,0,3,4,2,4,7,6,3,7,5,3,5,2,3,1,3,5,3,4,2,8,4,2,4,4,5,3,3,2,1,3,3,2,2,2,0,3,4,3,2,4,2,4,5,5,8
JPEG,70.0,3,2,2,1,3,1,3,1,1,2,3,3,2,4,2,5,4,3,0,2,1,2,4,1,3,1,2,4,2,3,2,3,2,4,2,3,3,2,3,3,4,2,4,3,5,1,6,5,3,4,5,3,1,4,2,2,4,1,3,5,3,3,4,2,2,4,2,0,3,2,4,1,4,1,4,1,2,4,2,2,5,1,2,2,0,1,2,3,3,2,2,0,4,2,2,1,2,3,2,2
JPEG,90.0,3,1,1,0,1,1,3,0,1,1,2,0,1,2,0,3,3,1,1,1,0,1,2,0,0,0,1,1,1,2,2,0,2,3,2,2,0,2,0,4,5,1,5,4,1,0,1,3,4,3,2,2,0,3,1,3,2,0,1,4,2,3,2,1,1,1,0,0,0,1,3,0,3,1,2,1,1,1,1,1,2,0,0,0,0,1,2,1,0,1,2,0,2,2,0,1,1,4,2,3
JPEG2000,50.0,2,0,1,0,2,0,0,0,0,0,1,0,0,2,0,2,2,1,0,1,0,0,1,0,0,0,1,1,1,2,2,0,1,2,0,1,0,1,1,1,3,1,2,1,0,0,1,1,3,1,2,1,0,1,0,2,1,0,0,1,2,0,2,1,1,0,0,0,0,0,3,0,3,1,0,1,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,3,1,2
JPEG2000,70.0,2,0,1,0,2,0,0,0,0,0,1,0,0,2,0,2,2,1,0,1,0,0,1,0,0,0,1,1,1,2,2,0,1,2,0,1,0,1,1,1,3,1,2,1,0,0,1,1,3,1,2,1,0,1,0,2,1,0,0,1,2,0,2,1,1,0,0,0,0,0,3,0,3,1,0,1,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,3,1,2
JPEG2000,90.0,2,0,1,0,2,0,0,0,0,0,1,0,0,2,0,2,2,1,0,1,0,0,1,0,0,0,1,1,1,2,2,0,1,2,0,1,0,1,1,1,3,1,2,1,0,0,1,1,3,1,2,1,0,1,0,2,1,0,0,1,2,0,2,1,1,0,0,0,0,0,3,0,3,1,0,1,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,3,1,2
MedianBlur,3.0,3,0,1,0,2,0,0,1,0,0,1,1,0,2,0,2,2,3,1,0,0,0,1,0,0,0,1,1,1,2,3,0,1,2,1,1,1,3,1,1,2,1,1,0,1,0,1,1,3,3,1,1,0,0,0,2,1,1,0,1,2,1,2,1,1,0,0,0,0,1,2,0,2,0,1,1,0,1,0,0,2,0,0,0,0,1,2,1,1,0,0,0,1,2,0,2,1,3,2,3
MedianBlur,5.0,2,0,2,0,5,1,0,2,0,0,1,1,0,3,0,2,3,2,3,0,2,1,0,1,1,0,1,2,1,2,3,0,1,3,1,2,1,2,1,1,1,1,1,1,1,0,2,1,4,2,2,1,0,1,1,4,1,3,1,2,2,1,2,1,1,0,0,1,0,2,2,0,3,1,1,1,0,1,0,0,2,2,1,2,0,2,2,1,0,0,0,0,0,2,0,1,1,2,3,3
MedianBlur,7.0,2,1,2,0,6,1,1,1,0,0,2,1,0,3,1,2,5,1,2,1,2,3,0,1,1,2,2,2,3,2,2,0,2,3,1,2,2,3,1,2,1,1,1,1,1,0,2,2,3,2,1,1,0,3,1,4,1,3,1,2,3,2,1,2,1,0,0,1,0,2,3,0,2,1,1,0,0,2,1,1,1,1,1,1,0,3,1,1,0,1,0,0,2,2,1,2,2,3,4,3
Resize,0.25,32,40,38,41,30,35,34,34,47,33,30,40,35,38,32,30,37,38,38,37,33,35,31,34,34,38,37,36,33,29,27,35,31,32,27,37,41,37,25,25,31,32,38,32,36,37,39,30,41,36,32,30,37,33,30,36,32,32,34,33,33,29,36,32,29,37,30,36,35,26,38,38,38,40,29,33,38,33,36,35,36,35,33,37,38,31,38,39,34,35,35,36,40,29,35,33,42,32,23,51
Resize,0.5,5,3,3,4,5,2,3,6,3,3,4,4,4,9,2,6,6,4,4,2,3,3,4,4,3,6,5,5,3,4,6,6,5,6,6,4,2,2,5,2,8,7,4,3,1,5,5,3,4,4,5,6,4,3,3,8,4,1,2,5,7,3,6,4,3,4,4,4,4,3,6,3,10,4,4,3,4,2,2,4,7,6,3,4,4,2,5,7,7,6,3,3,4,6,3,3,6,6,6,10
Resize,0.75,3,1,1,1,2,1,1,0,1,1,1,0,1,2,1,3,2,0,1,0,0,0,1,0,1,1,1,1,1,3,2,1,2,2,1,2,0,1,2,1,4,1,2,0,2,0,1,1,4,1,2,1,1,1,1,2,1,0,1,2,3,0,2,2,1,1,1,1,0,0,2,1,4,1,0,1,1,1,1,1,3,1,1,1,1,0,1,1,0,1,0,1,2,2,0,1,2,3,2,2
Resize,1.5,3,0,1,0,2,0,0,0,0,0,2,0,0,2,0,2,2,0,0,1,0,0,1,0,0,0,1,1,1,2,2,0,1,2,0,2,0,1,1,1,3,1,1,1,0,0,0,1,3,1,2,1,0,1,0,2,1,0,0,2,2,0,2,1,1,0,0,0,0,0,3,0,2,1,0,1,0,1,0,1,2,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,3,1,2
Resize,2.0,2,0,1,0,2,0,0,1,0,0,1,0,0,2,0,2,2,0,0,0,0,0,1,0,0,0,1,1,1,2,2,0,1,2,0,2,0,1,1,1,3,1,1,1,0,0,0,1,3,1,2,1,0,1,0,2,1,0,0,2,2,0,2,1,1,0,0,0,0,0,2,0,3,1,0,1,0,1,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,1,0,2,1,3,1,2
Saturation,0.5,3,1,1,2,2,1,2,2,1,0,3,0,2,2,1,1,2,1,2,1,1,0,2,2,2,1,4,1,1,1,3,1,0,4,1,2,0,2,1,2,4,1,2,1,1,0,3,1,3,1,1,1,2,0,1,2,1,2,1,2,2,3,3,3,1,2,0,1,0,1,5,1,4,2,0,1,2,1,0,0,3,0,1,0,0,0,2,1,1,1,2,0,2,2,1,1,1,3,1,2
Saturation,1.5,4,0,4,4,4,1,4,0,2,3,4,1,2,5,2,3,3,2,2,3,2,4,1,3,2,1,5,3,4,4,3,0,3,3,1,3,4,4,4,2,2,2,4,2,0,1,3,3,6,6,4,3,2,1,1,7,2,6,2,3,3,2,2,2,1,0,1,1,5,0,4,1,3,0,1,2,4,2,1,2,4,0,1,1,1,3,3,1,2,2,3,0,2,6,0,1,3,3,3,4
Saturation,2.0,6,5,10,3,10,3,8,6,6,6,14,4,2,10,7,5,6,8,6,7,9,13,9,5,9,4,10,9,9,8,11,8,9,8,6,6,7,7,7,8,8,3,10,4,3,6,9,6,12,11,9,8,5,5,8,8,7,10,5,8,8,8,9,10,6,6,3,6,9,5,3,4,8,5,8,5,13,4,3,6,7,4,4,8,5,10,7,6,6,6,4,4,11,8,5,6,8,6,4,10
Sharpness,0.5,2,0,1,0,2,0,0,0,0,0,1,0,0,2,0,2,2,1,0,0,0,0,1,0,0,0,1,1,1,2,2,0,1,2,0,1,0,1,1,1,3,1,1,0,1,0,1,1,3,1,2,1,0,1,1,2,1,0,0,2,2,0,2,1,1,0,0,0,0,1,2,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,3,1,2
Sharpness,1.5,3,0,1,0,2,0,0,0,0,0,1,0,0,2,0,2,2,1,0,0,0,0,0,0,1,0,1,1,1,2,3,0,1,2,0,2,0,1,1,1,3,1,1,0,0,0,0,1,3,2,2,1,0,1,0,2,1,0,1,1,2,0,2,1,1,0,0,0,0,0,2,0,3,1,0,1,0,1,0,1,2,0,0,0,0,0,2,1,0,0,0,0,1,1,0,1,1,3,1,2
Sharpness,2.0,3,0,1,0,2,0,0,0,1,0,2,0,0,2,0,2,2,2,1,0,0,0,1,0,1,0,2,1,1,2,2,0,1,2,0,2,0,2,1,1,3,1,2,1,0,0,0,1,4,2,2,1,0,1,0,3,1,1,0,2,2,0,2,1,1,0,0,0,0,1,2,0,2,1,0,1,0,1,0,0,1,0,0,0,0,1,2,1,1,0,0,0,1,0,0,1,1,3,2,3
WebP,50.0,4,4,3,1,2,4,3,1,3,4,2,2,4,9,1,7,5,4,5,2,2,3,6,1,1,3,3,3,3,3,5,5,3,6,4,3,5,2,2,4,7,4,5,5,7,2,3,2,6,4,4,6,2,2,2,5,3,1,3,5,3,4,1,2,3,5,4,1,2,3,4,2,7,1,5,2,4,3,1,5,4,1,0,0,1,4,5,5,3,2,3,5,2,4,4,3,3,3,4,7
WebP,70.0,3,3,3,0,2,2,3,1,2,2,4,0,3,6,0,4,3,4,2,3,1,5,4,0,5,1,3,3,5,4,5,1,0,5,2,2,2,3,1,6,4,4,4,8,2,1,2,3,5,4,3,4,1,3,1,2,3,0,4,4,3,2,2,1,1,3,0,1,1,2,3,3,4,2,3,1,3,2,2,4,3,0,1,1,0,0,1,2,3,0,2,2,2,4,3,2,1,3,3,4
WebP,90.0,2,1,1,0,2,0,3,0,1,1,1,0,2,2,0,2,2,1,1,2,0,1,3,0,0,1,2,1,1,2,3,0,0,2,2,2,1,2,1,2,3,3,4,3,1,0,3,4,4,3,3,1,0,1,2,1,1,0,1,2,2,1,2,2,1,3,0,0,1,2,2,1,3,1,2,1,0,2,2,3,1,0,0,0,0,0,2,1,1,0,3,1,3,4,0,0,1,3,1,3
