Transformation,Parameter,Bit Accuracy,burst_index,0-to-1,1-to-0
GaussianBlur,1.0,0.9993000000000001,1.0,3,4
GaussianBlur,3.0,0.9973000000000001,1.0,16,11
GaussianBlur,5.0,0.9318,0.9361628220108482,304,378
GaussianNoise,0.02,0.9992,1.0,6,2
GaussianNoise,0.04,0.9994,1.0,4,2
GaussianNoise,0.08,0.9991,1.0,6,3
JPEG,50.0,0.9873999999999999,0.9903352461491995,63,63
JPEG,70.0,0.993,0.9893267651888341,28,42
JPEG,90.0,0.9981,1.0,10,9
