Transformation,Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
GaussianNoise,0.02,1,2,4,4,4,4,3,5,2,2,2,1,4,5,3,1,1,3,2,0,0,2,6,2,1,2,4,3,0,1,5,3,3,5,3,2,1,0,5,1,3,4,4,3,4,2,1,2,1,4,6,2,2,7,2,3,2,2,2,2,1,1,1,3,1,4,3,0,3,1,5,2,2,3,3,2,6,1,4,2,3,0,3,4,2,3,4,5,0,4,1,1,4,1,4,1,2,3,2,0
GaussianNoise,0.04,1,2,4,4,4,4,3,5,2,2,3,1,4,5,3,1,0,3,2,0,0,2,5,2,2,2,4,3,0,1,5,4,4,6,3,3,1,0,5,1,2,4,4,3,5,2,1,2,1,3,5,2,1,5,2,2,2,2,2,3,1,1,1,3,1,2,3,0,3,1,5,1,1,3,2,1,6,1,4,1,2,0,3,4,1,3,3,6,0,4,1,1,4,1,4,2,1,3,2,0
GaussianNoise,0.08,1,2,4,4,4,4,3,5,1,2,3,0,4,4,3,1,1,3,2,0,0,2,6,2,1,2,5,3,0,1,5,3,4,5,3,3,1,0,5,1,2,4,5,3,4,2,1,2,1,4,6,2,2,7,2,2,2,2,2,3,1,2,1,4,1,4,3,0,4,1,5,1,2,3,3,1,6,1,4,1,3,0,3,4,1,3,4,5,0,4,1,1,5,1,4,3,2,3,2,0
JPEG,50.0,4,5,8,5,3,8,4,7,3,3,3,4,8,7,8,6,4,7,2,8,1,5,9,2,7,6,10,6,8,6,5,1,6,12,4,6,4,2,7,1,7,9,12,3,7,3,1,4,4,7,6,2,3,7,4,6,3,5,2,2,6,4,5,8,5,4,7,3,7,2,8,5,5,2,6,4,12,6,6,2,6,4,6,4,6,7,6,6,5,9,4,5,9,2,7,5,5,4,2,2
JPEG,70.0,3,4,6,6,4,4,4,7,2,2,5,3,8,5,6,6,1,7,3,0,1,2,7,3,7,2,9,11,4,5,4,4,3,8,5,5,3,1,6,2,2,4,12,3,7,2,1,3,2,5,6,3,3,7,2,5,5,4,3,4,1,5,5,4,2,2,2,1,5,1,8,4,4,5,4,3,10,2,5,2,3,2,4,5,4,6,3,7,2,5,2,4,8,2,8,5,2,3,2,0
JPEG,90.0,2,2,7,5,4,5,4,8,1,2,3,1,4,5,3,3,1,5,2,0,1,2,7,2,2,2,8,4,3,4,6,4,5,6,2,3,3,1,6,1,2,5,10,3,6,2,2,3,1,3,6,2,2,7,3,3,3,3,2,4,1,3,1,5,2,5,3,0,3,1,4,2,2,3,4,1,7,1,7,1,6,2,3,3,4,5,4,7,0,6,2,1,7,2,7,3,2,3,2,0
JPEG2000,50.0,1,2,4,4,4,4,3,6,2,2,3,1,4,5,3,2,1,3,1,0,0,2,5,2,2,2,6,2,0,1,5,4,4,5,2,3,1,0,5,1,3,4,5,3,4,2,1,2,1,3,6,2,2,6,2,3,2,2,2,3,1,1,2,4,1,3,3,0,3,1,4,1,1,3,3,2,6,0,4,0,3,0,3,4,2,3,3,6,0,4,1,0,4,1,4,3,2,3,2,0
JPEG2000,70.0,1,2,4,4,4,4,3,6,2,2,3,1,4,5,3,2,1,3,1,0,0,2,5,2,2,2,6,2,0,1,5,4,4,5,2,3,1,0,5,1,3,4,5,3,4,2,1,2,1,3,6,2,2,6,2,3,2,2,2,3,1,1,2,4,1,3,3,0,3,1,4,1,1,3,3,2,6,0,4,0,3,0,3,4,2,3,3,6,0,4,1,0,4,1,4,3,2,3,2,0
JPEG2000,90.0,1,2,4,4,4,4,3,6,2,2,3,1,4,5,3,2,1,3,1,0,0,2,5,2,2,2,6,2,0,1,5,4,4,5,2,3,1,0,5,1,3,4,5,3,4,2,1,2,1,3,6,2,2,6,2,3,2,2,2,3,1,1,2,4,1,3,3,0,3,1,4,1,1,3,3,2,6,0,4,0,3,0,3,4,2,3,3,6,0,4,1,0,4,1,4,3,2,3,2,0
MedianBlur,3.0,2,0,5,3,3,4,4,5,3,2,3,1,4,4,3,2,1,3,3,1,0,2,5,1,1,2,4,3,1,3,5,4,4,4,2,2,1,0,5,1,3,5,6,3,5,2,1,2,1,3,5,2,2,5,2,2,2,3,1,1,1,1,0,4,1,4,3,2,3,1,4,1,1,3,3,0,6,0,5,0,3,0,3,4,2,3,2,6,0,4,2,0,4,1,5,1,1,3,1,0
