Transformation,0-to-1_percentage,1-to-0_percentage,burst_index
AverageFilter,52.67091399166871,47.32908600833129,0.989682685516738
Brightness,49.31436495300704,50.68563504699296,0.8969326381280321
Contrast,49.98007588489059,50.01992411510941,0.9193276819866816
GaussianBlur,48.736,51.264,0.9713605890710656
GaussianNoise,51.29424194400423,48.70575805599577,0.992826956709691
JPEG,51.21059118196637,48.78940881803364,0.9832466024319656
MedianBlur,51.76954732510288,48.23045267489712,0.99217326166315
Resize,51.87619830183512,48.12380169816489,0.9939795665813366
Saturation,51.08621860149355,48.91378139850645,0.983833905004032
Sharpness,51.49363369245837,48.506366307541626,0.9939999808665996
WebP,49.73715217982416,50.26284782017584,0.975538246756298
Overall Average,50.833539823295546,49.166460176704454,0.9720820104286898
