Row,Burstiness Ratio,Average Gap,Run Lengths
616,0.0,0.0,[1]
617,0.0,0.0,[1]
618,0.0,0.0,[1]
619,0.0,63.0,"[1, 1]"
620,0.0,18.0,"[1, 1]"
621,0.0,0.0,[1]
622,0.0,0.0,[1]
623,0.0,0.0,[1]
624,0.0,0.0,[1]
627,0.0,0.0,[1]
628,0.0,0.0,[1]
629,0.0,38.0,"[1, 1]"
630,1.0,1.0,[2]
631,0.0,18.5,"[1, 1, 1]"
632,0.0,16.5,"[1, 1, 1, 1, 1]"
633,0.125,10.125,"[1, 1, 1, 1, 3, 1, 1, 1]"
634,0.0,0.0,[1]
635,0.0,0.0,[1]
636,0.0,0.0,[1]
638,0.3076923076923077,6.769230769230769,"[1, 1, 2, 1, 3, 1, 5, 1, 1, 1]"
639,0.6739130434782609,2.0217391304347827,"[3, 1, 1, 12, 1, 1, 5, 1, 3, 5, 1, 2, 2, 3, 7, 6]"
644,0.0,0.0,[1]
645,0.23076923076923078,6.923076923076923,"[3, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1]"
657,0.0,49.0,"[1, 1]"
658,0.0,0.0,[1]
664,0.0,49.0,"[1, 1]"
665,0.0,0.0,[1]
666,0.0,0.0,[1]
669,0.0,0.0,[1]
670,0.0,49.0,"[1, 1]"
671,0.0,28.0,"[1, 1]"
677,0.0,0.0,[1]
684,0.0,62.0,"[1, 1]"
687,0.75,1.9038461538461537,"[1, 5, 2, 1, 6, 2, 1, 1, 10, 13, 7, 9, 4, 5]"
688,0.7346938775510204,2.0,"[4, 14, 6, 2, 1, 3, 6, 4, 1, 5, 4, 6, 1, 1]"
695,0.3333333333333333,32.0,"[1, 1, 3]"
696,0.2,8.4,"[1, 1, 1, 1, 2]"
704,0.0,0.0,[1]
707,0.0,0.0,[1]
714,0.5555555555555556,10.666666666666666,"[1, 7, 3, 1, 1]"
715,0.6666666666666666,2.5555555555555554,"[2, 5, 1, 1, 10, 9, 1, 1, 5, 1, 1, 3, 6]"
718,0.0,0.0,[1]
720,0.0,0.0,[1]
721,0.4,6.466666666666667,"[2, 7, 1, 3, 1, 1, 1, 1, 1, 1]"
743,0.0,10.333333333333334,"[1, 1, 1, 1]"
744,0.35,4.35,"[1, 1, 1, 3, 3, 3, 1, 2, 1, 1, 1, 2, 2, 1]"
747,0.0,37.0,"[1, 1, 1]"
760,0.0,0.0,[1]
780,0.0,0.0,[1]
781,0.3333333333333333,12.5,"[1, 5, 1, 1, 1]"
782,0.2222222222222222,7.666666666666667,"[1, 1, 1, 2, 1, 1, 1, 3]"
783,0.0,0.0,[1]
784,0.0,0.0,[1]
785,0.2222222222222222,9.555555555555555,"[1, 1, 3, 3, 1, 1, 1, 1]"
791,0.0,0.0,[1]
798,0.0,16.5,"[1, 1, 1]"
799,0.0,29.0,"[1, 1]"
800,0.0,16.5,"[1, 1, 1]"
801,0.0,29.0,"[1, 1]"
802,0.0,29.0,"[1, 1]"
803,0.0,29.0,"[1, 1]"
804,0.0,29.0,"[1, 1]"
805,0.0,29.0,"[1, 1]"
806,0.0,29.0,"[1, 1]"
807,0.0,29.0,"[1, 1]"
808,0.0,29.0,"[1, 1]"
809,0.0,29.0,"[1, 1]"
810,0.0,29.0,"[1, 1]"
811,0.0,16.5,"[1, 1, 1]"
812,0.0,29.0,"[1, 1]"
813,0.0,29.0,"[1, 1]"
814,0.0,29.0,"[1, 1]"
815,0.0,14.0,"[1, 1, 1, 1, 1, 1]"
816,0.0,14.5,"[1, 1, 1]"
817,0.5263157894736842,5.105263157894737,"[3, 2, 4, 1, 4, 1, 4, 1, 1, 1]"
818,0.25,6.0,"[1, 1, 2, 1]"
819,0.5,5.277777777777778,"[2, 4, 4, 1, 3, 2, 1, 1, 1, 1]"
820,0.5294117647058824,2.7941176470588234,"[3, 6, 5, 1, 1, 4, 5, 1, 1, 1, 1, 2, 2, 3, 1, 5, 1]"
821,0.375,7.25,"[1, 2, 2, 3, 1, 1]"
822,0.4666666666666667,5.933333333333334,"[2, 2, 3, 2, 2, 4, 1, 1, 1]"
823,0.4,3.6,"[1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 7, 5, 1, 1, 4, 3]"
824,0.0,29.0,"[1, 1]"
825,0.0,29.0,"[1, 1]"
826,0.0,16.5,"[1, 1, 1]"
827,0.0,0.0,[1]
828,0.0,35.0,"[1, 1, 1]"
829,0.0,23.333333333333332,"[1, 1, 1, 1]"
830,0.0,13.0,"[1, 1, 1, 1]"
831,0.0,19.5,"[1, 1, 1]"
832,0.0,19.5,"[1, 1, 1]"
833,0.0,29.0,"[1, 1]"
834,0.0,0.0,[1]
835,0.0,70.0,"[1, 1]"
836,0.0,0.0,[1]
856,0.0,0.0,[1]
857,0.21428571428571427,6.928571428571429,"[1, 1, 3, 1, 1, 1, 2, 1, 3, 1, 1, 1]"
858,0.2857142857142857,5.785714285714286,"[3, 2, 1, 1, 1, 2, 1, 1, 3, 1, 1]"
859,0.0,0.0,[1]
860,0.4642857142857143,3.4642857142857144,"[7, 1, 1, 3, 1, 2, 1, 3, 4, 2, 3, 3, 1, 2, 2, 1]"
861,0.5945945945945946,2.5405405405405403,"[1, 5, 1, 4, 5, 1, 4, 2, 1, 2, 2, 5, 4, 3, 1, 2]"
874,0.0,0.0,[1]
885,0.0,0.0,[1]
886,0.0,0.0,[1]
892,0.0,0.0,[1]
893,0.0,0.0,[1]
894,0.0,0.0,[1]
895,0.0,0.0,[1]
897,0.0,0.0,[1]
898,0.0,25.0,"[1, 1, 1]"
899,0.16666666666666666,14.166666666666666,"[3, 1, 1, 1, 1, 1]"
933,0.0,33.5,"[1, 1, 1]"
934,0.3,9.8,"[1, 1, 2, 1, 2, 1, 1, 2]"
953,0.859375,1.546875,"[5, 7, 2, 25, 20, 2, 9, 4, 4, 3]"
961,0.0,12.5,"[1, 1, 1]"
962,0.0,91.0,"[1, 1]"
981,0.0,16.0,"[1, 1, 1, 1, 1, 1, 1]"
1009,0.1111111111111111,10.555555555555555,"[1, 1, 1, 1, 1, 1, 1, 1, 2]"
1010,0.4166666666666667,3.9166666666666665,"[2, 1, 1, 1, 1, 1, 1, 4, 2, 2, 1, 4, 3, 1, 2]"
1012,0.0,0.0,[1]
1013,0.0,15.166666666666666,"[1, 1, 1, 1, 1, 1, 1]"
1019,0.0,0.0,[1]
1026,0.0,0.0,[1]
1027,0.0,0.0,[1]
1028,0.0,25.0,"[1, 1]"
1037,0.0,25.0,"[1, 1]"
1038,0.0,25.0,"[1, 1]"
1039,0.0,25.0,"[1, 1]"
1043,0.0,0.0,[1]
1044,0.0,31.0,"[1, 1, 1]"
