,aHash,dHash,wHash,pHash
count,900.0,900.0,900.0,900.0
mean,1.1333333333333333,3.9477777777777776,1.4111111111111112,1.7222222222222223
std,1.283938601133022,3.6866330346096183,3.1982838990078455,1.535112056924282
min,0.0,0.0,0.0,0.0
25%,0.0,2.0,0.0,0.0
50%,1.0,3.0,2.0,2.0
75%,2.0,5.0,2.0,2.0
max,8.0,32.0,84.0,8.0
