,aHash,dHash,wHash,pHash
count,686.0,686.0,686.0,686.0
mean,0.9825072886297376,5.0830903790087465,1.1457725947521866,1.9708454810495626
std,1.239136788937615,4.575125358004384,1.396252931578404,1.7322264941929302
min,0.0,0.0,0.0,0.0
25%,0.0,2.0,0.0,0.0
50%,1.0,4.0,0.0,2.0
75%,1.75,7.0,2.0,2.0
max,8.0,36.0,8.0,10.0
