Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance
11-facebook.jpg,1001000001001011101000000110101010100000011010101101000011101100110100000110101111011001011001111101100110100110111010011010011101101101001011100111000100110010011010010011001111001011101100111000111110110000101101011101000010100011110101000000110111010100,1001000001001011101000000110101010100000011010101101000011101100110100000110101111011001011001111101100110100110111010011010011101101101001011100111000100110010010010010011001111001011101100111100111110110000101101011101000010100011110101000000110111010100,True,True,True,True,2
15-facebook.jpg,1101100100011100100100011011100000110110101000111101000000001111011111001110001111001111001011110011100000000001100011111101000111100000000100000111111111011010000000111111111111111000000000000000011111011101000110000000011101111111110001000100000011111111,1101100100011100100100011011100000110110101000111101000000001111011111001110001111001111001011110011100000000001100011111101000111100000000100000111111111011010000001111111111111110000000000000000011111011101000110000000011101111111110001000100000011111111,True,True,True,True,2
wm_8-cropping.jpg,1101111110001110001010010111001100110100001110110111001010011000000010011100010010010011111011110110011000110101100010000110010100111101000010001110001110110111001011001000010011001001101100110111011101110010100100000111001000101111000110111101000101001011,1000111001000000001110001001000100010011001001101000101001010101110010001100000101010111010111101111111001100111001100100010010001110011010011111100100100111001001111110001001011010001110110111001111001100001010010001101110000111011100001001010010000110011,False,False,True,False,118
wm_4-inpainting.jpg,1011010111011010110011001000011001011001110001100011011101001100011001100011110010110101011101110100110000110101101001001101110101100011011101000110000110100111110110001101000110010010010010010011010100100100011000001001001101101110010100110110011100101101,10001100111011101011100010000110010110001111010010100111011011100000000001101011010110011100111001100110100110000100100101101001101110101110001100110100100101111100111110110001010000110011011010110000011110001100100011100001001001001011110010100110110011100101100,True,False,False,False,121
16-facebook.jpg,1111011100100011001010010000111001010001111110100001010111001101000000000010000100001100101100000010011110000101000011110111101011110110010110100110010010011100111000111111100110010111010101010111000001000101111010011011100011101101011111011110110010000011,1111011100100011001010010000111001010001111110100001010111001101000000000010000100001100101100000010011110000101000011110111101011110110010110100110010010011100111000111111100110010111010101010111000001000101111010011011100011101101011111011110110010000011,True,True,True,True,0
wm_6-inpainting.jpg,1100111011101001011111011011111000011010000111100110000001111001000000011010010100000100010110101001110100100001011101011101011111010110100000000011000110011100111101011111100101111110011101010110010111011001100010000110010100101011011001101000101000100010,1100100011101001011111011010111000011010000101100110000101111001000000011010010101000000010101101001100100110001011101011001011111110110001001000011000110011100111101011111100101011110011111010110011111011001101010000110010100101011011001101000101000100010,True,True,True,True,20
14-facebook.jpg,1001010011000011100011100010001110100010010010011001000110010100100111010101000011110011010100110011100101111110111100110101100000010110011100110110011010110110101001011010011001110101100011001110000100100100011111001101011111100100000101110011110010100110,1001010011000011100011100010001110100010010010011001000110010100100111010101000011110011010100110011100101111110111100110101100000010110011100110110011010110010101001011010011001110101100111001110000100100100011111001101011111100100000101110011110010100110,True,True,True,True,2
wm_1-copy-move.jpg,1110010000001011010110000100011111000000001011110010101110111011000010110111111100100111100100000101110010000011001000100110110001001100100000100011011101110110001101111101110100111011101111110011011001101011111010010000111101110111000010100010010000010010,110000000010111101110000000000000101000000001111001010110000010110111111100100111100111000101110010000010001000100110110001001100100000000011010101110110001001111101110111011011111111110011011001101011111011010010101101110110100000100010010000000010,False,True,False,False,100
17-facebook.jpg,1101110111010100000110011100110000010001011001101110001101111111000010100011011100100101110100101101011000101001011011000100110110001110111000100011011010011011111000010111110111000100101001010001101100000010011100011000110010000000011110011101111111000101,1101110111010100000110011100110000010001011001101110001101111111000010100011011100100101110100101101011000101001011011000100110110001110111000100011011010011011111000010111110111000100101001010001101100000010011100011000110010000000011110011101111111000101,True,True,True,True,0
12-facebook.jpg,1101010101000111100110100000111011100001101000000101010011110100101110100101110110101110010001110100011100110111110100111001001000101000011010101000110000100111111011110011011100000101110001101100010100011001101101001000101000010111110000101101100111010011,1101010101000111100110100000111011100001101000000101010011110100101110101101110110101110010001110100011100110111100100111001001000101000011010101000110000100111111011110011011100000101110001101100010100011001101101001000101000010111110000101101100111010011,True,True,True,True,2
wm_2-copy-move.jpg,1100010100010111000110101010100000011110100001111111010111110100111011100000100100010001000111000001110011100110111000110101100111001101101001001011001100011001011001101110011101001100110110011001100110111100101000100000011001101100111011110101100010010010,1100010100010111000100001110100000011110100001111110010111110100111011101000100100010001001111000001110011100110111001110001100111001101101001001011000100011000011101101110011101001100110010011101101110111100101000100010011001101100111011010101100010010010,True,True,True,True,16
wm_9-cropping.jpg,1111100100100000110011001101111100010101100101101000111000011000110001011111110100100100100100101101100011010100000110100000110001110010110010011110101101001110100000011011000100111011011111011001011100100101010111111011010110110000001000100101100101110110,01111111101100001110110110111100100101001011101010000100110011011100010101111010001011110000010111010010111101110111001010011110011001100111001000010011100100010110000010010000001110100101100100000001101010001001000000100111000101100101111001110100111101001110000,False,True,False,True,107
wm_5-inpainting.jpg,1000010000000001110111010110111000011011010110101000010001011010011101011010111101110101011011010000111001011010110100010101001001111010100001001011110011111101010111111100110111000000101001000110100010000001100111101101111001001010101000001010001000111111,1000010011001001110111010011101000011011001101101010010011001010011101001100100101110101111011000000011001001110110100010001001001111011101100001011011001101101010111101100010111001001100100110110101011001100100111001101110001001010101100101010001100100110,True,True,True,True,54
13-facebook.jpg,1011001100110011001110110011100111110010100010100010001010011001000111011101011111000111101010011101111010110101011001100010110011010101101010010011000000100100011010100110010110010110101000111001100101110101000000101011011010010010101101000110100100101011,1011001100110011001110110011100111110010100010100010001010011001000111011101011111000111101010011101111010110101011001100010110011010001101010010011000000100100011010100110010110010110101000111001100101110101010000101011011010010010101101000110100100101011,True,True,True,True,2
10-facebook.jpg,1010010101101001010001100000111100010110110000111111110100110100010010010011111000101100110010001100101111100001100011100111100111001001100000111110000111100001110000011011111011001001100011011100001111000011100100100011011010110110000011111001100011010011,1010010101101001010001100000111100010110110000111111110100110100010010010011111000101100110010001100101111100001100011100111100111001001100000111110000111100001110000011011111011001001100011011100001111000011100100100011011010110110000011111001100011010011,True,True,True,True,0
wm_7-cropping.jpg,1100101100011111011000011011010100001111100100001000001010011011001100000011010101110000011101101101110001101110001101001011110110110000011110010011010111110101100010100100111000110110000001010111001001110001100011100000011001111111111001101000010101101001,110010110001110111001101000111110111000110110000100011111001000010000010100110100010000000111001001100101010001100100010010101110101001100001110001010111010110000001000001011110000001101000101010100111101111,True,False,False,False,94
wm_3-copy-move.jpg,1000001111001001110000011111111011110000111111001101101111101001001011000011011101110110000100000100101110100100001001001010011010010001011011000110101100000110001101100101111111010010010011011000010000000111011011001111101101101010001010101001001111010010,1000001111001001110000001111111011110010111111001101101101001001001011000011011101110110101100000100100110100100001001001010011010010001011011000110101100100110001101100101111111010011010111011000010010000111111010001111101101101010001010001001001010010010,True,True,True,True,16
18-facebook.jpg,1001001100011010100101111001101010010111110011100001011110011010000101110001111010010111100100000010011111001110100001011001010010000011001011111000010110010101100000110110010110000101110011111001101101110001100100110010011100011101111100010100001111000101,1001001100011010100101111001101010010111110011100001011110011010000101110001111010010111100100000010011111001110100001011001010010000011001011111000010110010101100000110110010110000101110011111001111101110001100100110010011100001101111100010100001111000101,True,True,True,True,2
