Threshold,CDF Probability
0,0.01
1,0.01
2,0.035555555555555556
3,0.035555555555555556
4,0.08
5,0.08
6,0.12555555555555556
7,0.12555555555555556
8,0.18222222222222223
9,0.18222222222222223
10,0.2722222222222222
