Threshold,CDF Probability
0,0.15888888888888889
1,0.31555555555555553
2,0.4622222222222222
3,0.5855555555555556
4,0.6977777777777778
5,0.7922222222222223
6,0.8555555555555555
7,0.9
8,0.9355555555555556
9,0.9555555555555556
10,0.9788888888888889
