Threshold,CDF Probability
0,0.0022222222222222222
1,0.0033333333333333335
2,0.0077777777777777776
3,0.015555555555555555
4,0.02
5,0.03
6,0.03888888888888889
7,0.052222222222222225
8,0.06888888888888889
9,0.07777777777777778
10,0.09333333333333334
