Threshold,CDF Probability
0,0.0
1,0.0
2,0.0011111111111111111
3,0.0022222222222222222
4,0.0022222222222222222
5,0.0033333333333333335
6,0.0044444444444444444
7,0.0077777777777777776
8,0.02
9,0.028888888888888888
10,0.04666666666666667
