Threshold,CDF Probability
0,0.24
1,0.24
2,0.4922222222222222
3,0.4922222222222222
4,0.71
5,0.71
6,0.8344444444444444
7,0.8355555555555556
8,0.9288888888888889
9,0.9288888888888889
10,0.97
