Threshold,Accuracy
0,0.7022
1,0.7024
2,0.9001
3,0.905
4,0.9468
5,0.9521999999999999
6,0.96485
7,0.9675
8,0.96795
9,0.97
10,0.96865
11,0.9691000000000001
12,0.9653
13,0.9642
14,0.95885
15,0.95775
