Threshold,TP,FP
0,0.47,0.0003
1,0.472,0.0003
2,0.8281,0.0011
3,0.836,0.0011
4,0.8917,0.0031
5,0.9058,0.0037
6,0.9251,0.0059
7,0.9321,0.0065
8,0.9392,0.0124
9,0.9432,0.0136
10,0.9474,0.0212
