Threshold,TPR,FPR
0,0.4700,0.0003
1,0.4720,0.0003
2,0.8281,0.0011
3,0.8360,0.0011
4,0.8917,0.0031
5,0.9058,0.0037
6,0.9251,0.0059
7,0.9321,0.0065
8,0.9392,0.0124
9,0.9432,0.0136
10,0.9474,0.0212
11,0.9514,0.0223
12,0.9533,0.0354
13,0.9542,0.0385
14,0.9564,0.0486
15,0.9576,0.0518
