Threshold,TP,FP
0,0.1059,0.0
1,0.1588,0.0
2,0.3523,0.0
3,0.4689,0.0
4,0.6054,0.0009
5,0.6948,0.0009
6,0.766,0.0009
7,0.8132,0.0018
8,0.8519,0.0031
9,0.8812,0.0049
10,0.9039,0.0071
