Hamming Distance,Number of Images
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,2
35,0
36,2
37,0
38,1
39,0
40,2
41,0
42,1
43,0
44,3
45,0
46,3
47,0
48,4
49,0
50,7
51,0
52,3
53,0
54,2
55,0
56,5
57,0
58,4
59,0
60,0
61,0
62,9
63,0
64,9
65,0
66,9
67,0
68,6
69,0
70,9
71,0
72,6
73,0
74,6
75,0
76,10
77,0
78,9
79,0
80,13
81,0
82,13
83,0
84,10
85,0
86,13
87,0
88,19
89,0
90,20
91,0
92,23
93,0
94,16
95,0
96,9
97,0
98,26
99,0
100,19
101,0
102,23
103,0
104,16
105,0
106,18
107,0
108,22
109,0
110,22
111,1
112,25
113,0
114,28
115,0
116,24
117,0
118,27
119,0
120,31
121,0
122,22
123,0
124,23
125,0
126,13
127,0
128,20
129,0
130,21
131,0
132,18
133,0
134,22
135,0
136,24
137,0
138,13
139,0
140,12
141,0
142,12
143,0
144,17
145,0
146,10
147,0
148,14
149,0
150,15
151,0
152,13
153,0
154,11
155,0
156,11
157,0
158,6
159,0
160,8
161,0
162,10
163,0
164,6
165,0
166,1
167,0
168,7
169,0
170,8
171,0
172,2
173,0
174,2
175,0
176,7
177,0
178,5
179,0
180,1
181,0
182,2
183,0
184,1
185,0
186,1
187,0
188,4
189,0
190,0
191,0
192,2
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,1
205,0
206,1
207,0
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
