Hash Function,Mean,STD
pHash,0.49758989540847853,0.03190657771811188
dHash,0.4945999702601656,0.039839308749175774
aHash,0.4825623088153504,0.09850841130299533
wHash,0.4820858245272525,0.09926332834153465
