Threshold,TP,FP
0,0.8434,0.0396
1,0.8434,0.0409
2,0.9907,0.117
3,0.992,0.1201
4,0.9973,0.2073
5,0.9991,0.214
6,0.9996,0.2963
7,1.0,0.3029
8,1.0,0.3817
9,1.0,0.3928
10,1.0,0.4626
