Threshold,TP,FP
0,0.8609,0.0314
1,0.8623,0.0317
2,0.9796,0.1109
3,0.9819,0.1134
4,0.9895,0.1965
5,0.9935,0.2036
6,0.996,0.2837
7,0.9975,0.2955
8,0.9977,0.3775
9,0.998,0.3934
10,0.9986,0.4663
