Threshold,TP,FP
0,0.5902,0.0045
1,0.6982,0.0079
2,0.9078,0.0235
3,0.9533,0.032
4,0.9751,0.0549
5,0.985,0.0699
6,0.9893,0.1055
7,0.9918,0.1264
8,0.9938,0.1657
9,0.9958,0.1954
10,0.9969,0.2316
