Threshold,TP,FP
0,0.1041,0.0
1,0.1666,0.0
2,0.3699,0.0003
3,0.4853,0.0003
4,0.6179,0.0008
5,0.7016,0.0008
6,0.7633,0.0011
7,0.8156,0.002
8,0.8524,0.0025
9,0.8798,0.0037
10,0.9053,0.0051
