Filename,Less or Equal to Threshold,Greater than Threshold,Threshold
obj-add.csv,0.05,99.95,0
obj-add.csv,0.05,99.95,1
obj-add.csv,0.15,99.85,2
obj-add.csv,0.15,99.85,3
obj-add.csv,0.15,99.85,4
obj-add.csv,0.15,99.85,5
obj-add.csv,0.35,99.65,6
obj-add.csv,0.35,99.65,7
obj-add.csv,0.55,99.45,8
obj-add.csv,0.6,99.4,9
